tpep_production_datetime,latitude,longitude
2014-07-15T06:00:00.000,40.694696, -73.966286
2013-12-13T06:00:00.000,40.798601, -73.966622
2016-04-25T06:00:00.000,40.688630, -74.018244
2012-06-20T08:00:00.000,40.712597, -73.953098
2014-03-24T06:00:00.000,40.747155, -73.939750
2016-04-07T10:00:00.000,40.691340, -73.927879
2015-10-23T12:00:00.000,40.701954, -73.942358
2012-08-02T10:00:00.000,40.693682, -73.989693
2013-07-05T07:00:00.000,40.847150, -73.898680
2014-06-05T06:00:00.000,40.679171, -73.963804
2012-01-16T06:00:00.000,40.820479, -73.925084
2014-01-24T12:00:00.000,40.682306, -73.978099
2016-03-07T07:00:00.000,40.731829, -73.989181
2013-06-20T06:00:00.000,40.769258, -73.958751
2012-12-06T06:00:00.000,40.775921, -73.982607
2015-11-05T04:00:00.000,40.739065, -73.982255
2016-12-01T06:00:00.000,40.811407, -73.953060
2014-09-12T08:00:00.000,40.727790, -73.947605
2015-09-25T13:00:00.000,40.679171, -73.963804
2016-12-01T08:00:00.000,40.727790, -73.947605
2012-05-01T06:00:00.000,40.747155, -73.939750
2015-08-10T08:00:00.000,40.594095, -73.792896
2013-05-07T07:00:00.000,40.734012, -74.006746
2014-10-02T06:00:00.000,40.693682, -73.989693
2015-02-16T07:00:00.000,40.747155, -73.939750
2014-04-24T07:00:00.000,40.726399, -73.978631
2016-12-01T06:00:00.000,40.775921, -73.982607
2016-12-01T00:01:00.000,40.765823, -73.987169
2014-02-05T07:00:00.000,40.762211, -73.931528
2015-11-02T07:00:00.000,40.830867, -73.936218
2016-03-02T10:00:00.000,40.764191, -73.772775
2016-02-22T06:00:00.000,40.747155, -73.939750
2012-01-27T06:00:00.000,40.758236, -73.978833
2016-11-30T17:00:00.000,40.765823, -73.987169
2012-09-01T06:00:00.000,40.781432, -73.950013
2016-12-01T06:00:00.000,40.769258, -73.958751
2012-02-01T07:00:00.000,40.599263, -74.165748
2016-07-15T07:00:00.000,40.693682, -73.989693
2016-12-01T00:01:00.000,40.750633, -73.997177
2015-11-04T08:00:00.000,40.765823, -73.987169
2015-10-08T10:00:00.000,40.707917, -73.828212
2013-07-28T10:00:00.000,40.621982, -74.030324
2015-05-12T07:00:00.000,40.731829, -73.989181
2016-12-01T06:00:00.000,40.727790, -73.947605
2013-10-31T10:30:00.000,40.759260, -73.989860
2015-12-08T07:00:00.000,40.867787, -73.799920
2016-12-01T07:00:00.000,40.727790, -73.947605
2014-08-28T10:00:00.000,40.759260, -73.989860
